Item,Qty,Reference(s),Value,Digikey,Power,Voltage
1,12,"C1, C11, C12, C13, C14, C15, C16, C17, C18, C28, C29, C30",10nF,445-1305-1-ND,,25V
2,2,"C2, C26",33uF,1189-2152-ND,,
3,1,C3,100uF,1189-1887-ND,,
4,2,"C4, C8",1uF,1276-1838-1-ND,,
5,2,"C5, C7",2.2uF,490-GRM21BD72A225KE01LCT-ND,,75V
6,1,C6,64nF,1292-1462-1-ND,,
7,2,"C9, C25",4.7uF,478-08055C225KAT2ACT-ND,,50V
9,7,"C19, C20, C21, C22, C23, C24, C27",0.1uF,1276-1099-1-ND,,
10,1,D1,PN,3757-BZT52-C10_R1_00001CT-ND,,
11,2,"D2, D3",RED,160-1445-1-ND,,
13,1,J1,Lamp 1 Out,WM1865-ND,,
14,1,J2,ESTOP1,WM1865-ND,,
16,1,J4,Lamp 3 Out,WM1865-ND,,
17,1,J5,Lamp 2 Out,WM1865-ND,,
18,1,J6,Lamp 4 Out,WM1865-ND,,
19,1,J7,Conn_01x02,0428202224-ND,,
20,2,"J8, J9",RJ45,609-1046-ND,,
22,1,J11,ESC1_PWR,0428202224-ND,,
25,1,J14,ESC2_PWR,0428202224-ND,,
28,1,J17,ESC3_PWR,0428202224-ND,,
31,1,J20,SWD,S9015E-03-ND,,
33,7,"Q1, Q2, Q3, Q4, Q6, Q7, Q8",2N7002,2N7002A-7DICT-ND,,
34,1,Q5,Q_NMOS_GDS,1727-1890-1-ND,,
35,23,"R1, R2, R3, R6, R7, R8, R9, R10, R11, R12, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R49, R50, R73",1k,RMCF0603FT1K00CT-ND,,
36,42,"R4, R5, R13, R14, R15, R16, R19, R20, R40, R41, R42, R43, R44, R45, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R75, R76, R78, R79, R80, R81",0,RMCF0603ZT0R00CT-ND,,
37,2,"R17, R28",50k,A102282CT-ND,50mW,
38,2,"R18, R29",1.35k,13-RT0603BRD071K35LCT-ND,1mW,
39,1,R21,1,A131795CT-ND,1W,
41,1,R26,10,RMCF0603FT10R0CT-ND,,
43,2,"R46, R47",330,A129677CT-ND,,
44,1,R48,120,A129677CT-ND,,
45,1,SW1,RST,SW1065CT-ND,,
46,1,SW2,SW_SPDT,EG1903-ND,,
50,1,U4,MCP1804x-3302xMT,MCP1804T-5002I/MTCT-ND,,
51,7,,Molex 2 pin mate,WM1845-ND,,
52,15,,Molex pre crimped wires,0430300001-12-B0-ND,,
53,3,,Big Molex Cable Assemblies,900-0369240203-ND,,
