Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric,127.825,-84.225,-90,top
C2,10u,C_0805_2012Metric,137.4,-62.225,-90,top
C3,4.7u,C_0805_2012Metric,125.075,-87.925,0,top
C4,10u,C_0805_2012Metric,64.675,-69.425,90,top
C5,10u,C_0805_2012Metric,64.675,-72.925,90,top
C6,1uF,C_0805_2012Metric,84.875,-94.375,180,top
C7,0.1u,C_0805_2012Metric,125.075,-85.85,0,top
C8,10u,C_0805_2012Metric,75.425,-64.85,-90,top
C10,10u,C_0805_2012Metric,63.25,-119.625,180,top
C11,0.1u,C_0805_2012Metric,72.4,-128.65,90,top
C12,0.1u,C_0805_2012Metric,80.65,-123.15,-90,top
C13,22uF,C_0805_2012Metric,84.85,-86.15,0,top
C14,0.1uF,C_0805_2012Metric,84.85,-88.275,0,top
C15,0.1u,C_0805_2012Metric,93.125,-83.55,-90,top
C16,0.1u,C_0805_2012Metric,109.05,-106.3,90,top
C17,0.1u,C_0805_2012Metric,108.25,-111.1,90,top
C18,10u,C_0805_2012Metric,81.575,-64.85,90,top
C22,0.1u,C_0805_2012Metric,62.625,-69.425,90,top
C23,0.1u,C_0805_2012Metric,62.625,-72.925,-90,top
C24,0.1u,C_0805_2012Metric,77.475,-64.85,-90,top
C25,0.1u,C_0805_2012Metric,79.525,-64.85,90,top
C26,33uF,CP_Radial_D8.0mm_P3.50mm,80.05,-58.727651,90,top
C27,0.1uF,C_0805_2012Metric,66.9,-63.425,180,top
C28,0.1u,C_0805_2012Metric,127.675,-95.575,-90,top
C29,0.1u,C_0805_2012Metric,68.45,-106.35,0,top
C30,10n,C_0805_2012Metric,111.8,-115.125,0,top
C31,1u,C_0805_2012Metric,77.3,-106.375,180,top
C32,0.1u,C_0805_2012Metric,77.3,-104.325,180,top
C33,0.1u,C_0805_2012Metric,73.6,-104.325,0,top
C34,1u,C_0805_2012Metric,73.6,-106.375,0,top
C35,0.1u,C_0805_2012Metric,70.425,-109.55,-90,top
