Comment,Designator,Footprint,LCSC
"1u","C1,C31,C34,C37,C40","Capacitor_SMD:C_0805_2012Metric","C116352"
"22uF","C13","Capacitor_SMD:C_0805_2012Metric","C128856"
"0.1u_DNP","C15,C16","Capacitor_SMD:C_0805_2012Metric",""
"10u_DNP","C2,C10","Capacitor_SMD:C_0805_2012Metric",""
"33uF","C26","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","C441625"
"4.7u","C3","Capacitor_SMD:C_0805_2012Metric","C87998"
"10n","C30","Capacitor_SMD:C_0805_2012Metric","C2688117"
"10u","C4,C5,C8,C18","Capacitor_SMD:C_0805_2012Metric","C237493"
"1uF","C6","Capacitor_SMD:C_0805_2012Metric","C116352"
"0.1u","C7,C9,C11,C12,C14,C17,C19,C21,C22,C23,C24,C25,C27,C28,C29,C32,C33,C35,C36,C38,C39","Capacitor_SMD:C_0805_2012Metric","C519981"
"SMAJ5.0CA","D1,D4,D6,D7,D8,D10","Diode_SMD:D_SMA","C83324"
"S1G","D11","Diode_SMD:D_SMA","C260339"
"RED","D2,D3","LED_SMD:LED_0603_1608Metric"," C160478"
"SL04-E3-08_DNP","D5,D9","Diode_SMD:D_SMF","C5224083"
"M3","H1,H2,H3,H4","MountingHole:MountingHole_3.2mm_M3_Pad_Via",""
"Lamp 1 Out","J1","Connector_Molex:Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal","C192562"
"CAN","J10","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","C566011"
"Conn_01x02","J12","Connector_Molex:Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal","C192562"
"Available GPIO_DNP","J13","Connector_PinHeader_1.27mm:PinHeader_1x05_P1.27mm_Vertical",""
"MOTOR_CTRL1","J14","Connector_Molex:Molex_Micro-Fit_3.0_43650-1000_1x10_P3.00mm_Horizontal",""
"MOTOR_CTRL2","J15","Connector_Molex:Molex_Micro-Fit_3.0_43650-1000_1x10_P3.00mm_Horizontal",""
"5V HEADER","J16","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","C471416"
"ESTOP1","J2","Connector_Molex:Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal","C192562"
"ESTOP2","J3","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","C566011"
"Lamp 3 Out","J4","Connector_Molex:Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal","C192562"
"Lamp 2 Out","J5","Connector_Molex:Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal","C192562"
