Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,68n,C_0805_2012Metric,62.475,-82.7,0,top
C2,0.1u,C_0805_2012Metric,53.025,-82.2,180,top
C3,1n,C_0805_2012Metric,67.375,-89.475,180,top
C4,220u,CP_Radial_D16.0mm_P7.50mm,96.07,-70.382755,90,top
C5,0.1u,C_0805_2012Metric,191.265,-46.205,90,top
C6,2.2n,C_0805_2012Metric,200.515,-49.95,90,top
C7,0.1u,C_0805_2012Metric,160.52,-46.465,90,top
C8,2.2n,C_0805_2012Metric,169.785,-50.245,90,top
C9,33u,CP_Radial_D10.0mm_P5.00mm,113.475,-52.975,180,top
C10,10uF,C_1206_3216Metric,157.125,-60.825,-90,top
C11,1uF,C_0805_2012Metric,154.675,-60.725,-90,top
C14,0.1u,C_0805_2012Metric,53.025,-87.7,180,top
C15,0.1u,C_0805_2012Metric,183.65,-55.125,180,top
C16,0.1u,C_0805_2012Metric,83.7,-79.35,-90,top
C17,33u,CP_Radial_D10.0mm_P5.00mm,86.425,-117.525,90,top
C18,1u,C_0805_2012Metric,85.85,-79.35,-90,top
C19,10u,C_0805_2012Metric,181.175,-63.225,90,top
C20,1u,C_0805_2012Metric,179.1,-63.225,-90,top
C21,220uF,CP_Radial_D6.3mm_P2.50mm,162.575,-59.792621,-90,top
C22,1u,C_0805_2012Metric,179.1,-66.7,90,top
C23,10u,C_0805_2012Metric,181.175,-66.7,-90,top
D1,MMSZ5248B,D_SOD-123,71.875,-85.85,0,top
D2,SML-P11UTT86R,LED_0402_1005Metric,61,-89.85,0,top
D3,S1G,D_SMA,160.875,-33.95,180,top
D4,S1G,D_SMA,191.25,-33.95,180,top
D5,S1G,D_SMA,203.225,-33.95,180,top
D6,Green,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,181.4125,-40.7,180,top
D7,Green,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,148.025,-30.9125,90,top
D8,S1G,D_SMA,172.675,-33.95,180,top
D9,D,VS-15AWL06FNTR-M3,138.925,-107.65,-90,top
D10,D,VS-15AWL06FNTR-M3,182.625,-90.975,0,top
D11,S1G,D_SMA,76.575,-115.25,90,top
D12,S1G,D_SMA,125.8,-35.425,90,top
D13,S1G,D_SMA,209.675,-66.275,-90,top
D14,Green,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,178.5875,-72.625,180,top
F1,1A,Feb-57,112.425,-71.825,-90,top
F2,10A,Feb-57,143.75,-91.875,90,top
F3,25A,Feb-57,97.725,-110.75,90,top
F4,2A,Feb-57,143.575,-40.25,0,top
F5,10A,Feb-57,167.075,-84.6,180,top
F6,1A,Feb-57,194.575,-66,180,top
