Comment,Designator,Footprint,LCSC
"68n","C1","Capacitor_SMD:C_0805_2012Metric","C113842"
"10u","C10","Capacitor_SMD:C_1206_3216Metric",""
"1u","C11,C12,C18,C20,C22","Capacitor_SMD:C_0805_2012Metric","C116352"
"2.2u","C13","Capacitor_SMD:C_0805_2012Metric","C107366"
"10u","C19,C23","Capacitor_SMD:C_0805_2012Metric","C237493"
"0.1u","C2,C5,C7,C14,C15,C16","Capacitor_SMD:C_0805_2012Metric","C28233"
"220u","C21","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","C88729"
"1n","C3","Capacitor_SMD:C_0805_2012Metric","C16005"
"220u","C4","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","C1580233"
"2.2n","C6,C8","Capacitor_SMD:C_0805_2012Metric","C1728"
"33u","C9,C17","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","C159830"
"MMSZ5248B","D1","Diode_SMD:D_SOD-123",""
"SML-P11UTT86R","D2","LED_SMD:LED_0402_1005Metric","C510300"
"S1G","D3,D4,D5,D8,D11,D12,D13","Diode_SMD:D_SMA","C260339"
"Green","D6,D7,D14","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"D","D9,D10","PDBLib:VS-15AWL06FNTR-M3","C2838505"
"1A","F1,F6","PDBLib:3557-2",""
"10A","F2,F5","PDBLib:3557-2",""
"25A","F3","PDBLib:3557-2",""
"2A","F4","PDBLib:3557-2",""
"Fiducial","FID1,FID2,FID3,FID4","Fiducial:Fiducial_1mm_Mask2mm",""
"M3","H1,H2,H3,H4","MountingHole:MountingHole_3.2mm_M3_Pad_Via",""
"Battery","J1","Connector_Molex:Molex_Mini-Fit_Sr_42820-22XX_1x02_P10.00mm_Horizontal",""
"MOTOR2_PWR","J10","Connector_Molex:Molex_Mini-Fit_Sr_42820-22XX_1x02_P10.00mm_Horizontal",""
"Router","J11","Connector_Molex:Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical",""
"FAN 1","J2","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","C471416"
"FAN 2","J3","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","C471416"
"FAN 3","J4","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","C471416"
"FAN 4","J5","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","C471416"
"Inverter","J6","Connector_Molex:Molex_Mini-Fit_Sr_42820-22XX_1x02_P10.00mm_Horizontal",""
"Control Board","J7","Connector_Molex:Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical",""
"Conn_01x02","J8","Connector_Molex:Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical",""
"MOTOR1_PWR","J9","Connector_Molex:Molex_Mini-Fit_Sr_42820-22XX_1x02_P10.00mm_Horizontal",""
"Q_NMOS_GDS","Q1","Package_TO_SOT_SMD:TO-263-2",""
"Q_NPN_EBC","Q2,Q5","PDBLib:SST3904T116CT-ND","C79629"
"Q_NMOS_GSD","Q3,Q4,Q6,Q7","Package_TO_SOT_SMD:SC-59",""
"DMN62D0U-13","Q8","PDBLib:DMN62D0U-13","C156342"
